Order ID,Customer,Item,Revenue,Cost,Order Date,Order Status
Ord01,Pooja,Apple iPhone,310.34,203.97,01-02-2001,Shipped
Ord02,Neha,Sony Headphones,996.41,791.38,31-12-2000,Cancelled
Ord03,Raj,Dell Laptop,815.4,503.98,21-06-2001,Delivered
Ord04,Kiran,HP Printer,281.85,169.36,21-01-2010,Shipped
Ord05,Arjun,Asus Monitor,316.54,216.3,11-11-2015,Pending
Ord06,Priya,Lenovo Notebook,908.42,573.12,05-01-2019,Shipped
Ord07,Vikram,Acer Projector,171.58,135.73,16-12-2003,Delivered
Ord08,Sanya,Microsoft Surface,863.64,432.38,10-06-2001,Cancelled
Ord09,Rohit,Bose Earbuds,655.83,558.86,28-06-2007,Cancelled
Ord10,Anjali,OnePlus Smartphone,367.94,232.66,16-10-2013,Cancelled
Ord11,Ramesh,Google Pixel,123.11,87.9,18-05-2003,Pending
Ord12,Sneha,Xiaomi Router,203.33,123.16,11-11-2016,Delivered
Ord13,Sanjay,Realme Watch,358.85,268.56,20-01-2016,Pending
Ord14,Deepika,Oppo Earphones,196.28,134.44,22-12-2008,Pending
Ord15,Kunal,Vivo Mobile,638.98,437.57,27-06-2009,Cancelled
Ord16,Meena,LG TV,511.9,330.03,08-12-2019,Delivered
Ord17,Abhishek,Huawei Matebook,409.88,279.68,03-01-2005,Pending
Ord18,Kavita,Motorola Walkie,476.24,311.23,28-04-2006,Delivered
Ord19,Suresh,Amazon Echo,797,520.91,14-12-2008,Cancelled
Ord20,Divya,Nokia Phone,788.87,527,13-05-2010,Pending
Ord21,Manish,Panasonic Camera,466.05,397.44,02-07-2003,Delivered
Ord22,Ritu,JBL Speaker,524.38,401.04,10-12-2018,Delivered
Ord23,Nitin,Beats Headset,279.62,148.24,30-10-2004,Pending
Ord24,Alka,Razer Keyboard,164.07,141.77,10-01-2000,Cancelled
Ord25,Akash,Corsair Mouse,433.97,386.36,30-04-2011,Shipped
Ord26,Jyoti,Logitech Webcam,344.65,228.21,11-06-2019,Cancelled
Ord27,Varun,BenQ Monitor,876.73,754.93,20-02-2005,Pending
